property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Saturation,No saturation,Saturation,standardized early slope,0.9607988003197111,2.1609903947020515,1.2001915943823405,2.05804471216459,0.08561164518089934,1.7578712029368304,2.335100479028581,1.8900185729310581,2.2213278126060407,0.3313092396749826,0.5772292760917506,3.6225720585388426,14.019022667375548,True,True,0.8688823547073579
Saturation,No saturation,Saturation,raw early slope,0.7764491766114726,1.8100145968368733,1.0335654202254005,1.7254121402910703,0.047011609294384284,1.5738057304009752,1.882380426746629,1.6353772682748247,1.8179366527075804,0.18255938443275577,0.30857469634565393,5.661529936885309,21.985323109304066,True,True,0.8510060357926448
Saturation,No saturation,Saturation,standardized late slope,0.9634375606275788,0.13877135841134694,0.8246662022162319,0.10196792421731708,0.05682875353864475,-0.09483701705360245,0.2661733174997189,-0.006733104565125182,0.21254750932539318,0.21928061389051837,0.3610103345533213,3.760780251317466,14.511425130157773,True,True,0.6053855883257135
Saturation,No saturation,Saturation,raw late slope,0.7785816347990111,0.1162329018042906,0.6623487329947205,0.0855079360158801,0.0475186658880093,-0.07819407185206809,0.2275870892636956,-0.005720295533444553,0.1770146814567878,0.18273497699023236,0.3057811611157637,3.624641236746508,13.938706413932707,True,True,0.4796137560044882
Saturation,No saturation,Saturation,standardized middle slope,0.9016679206322816,0.4562583836098241,0.4454095370224575,0.4546199887467238,0.05641641861151184,0.2974534910229885,0.6178253150836689,0.35144801738196324,0.5676304756725055,0.21618245829054222,0.3203718240606804,2.0603407905734956,7.895033892342311,True,True,0.22922707873191528
Saturation,No saturation,Saturation,raw middle slope,0.7286638100702786,0.38215548587703974,0.34650832419323885,0.3811233586653009,0.0456032216741086,0.24167279622036594,0.5196639238353729,0.2962023497119268,0.46968982325192443,0.1734874735399976,0.2779911276150069,1.997310336722099,7.598329930930521,True,True,0.17302085065324124
Saturation,No saturation,Saturation,standardized overall slope,0.933896471002854,0.7003322055674899,0.23356426543536413,0.6938485434597448,0.0252189782393391,0.6023627357190605,0.7702622057788915,0.6429229785777004,0.7385281961634025,0.09560521758570206,0.16789947005983097,2.443007519186841,9.261448390919623,True,True,0.13795904784966206
Saturation,No saturation,Saturation,raw overall slope,0.7547086296415411,0.5865882226130349,0.16812040702850617,0.581679666420943,0.009124433180000807,0.5508959334451304,0.6080190063520372,0.5633306210508184,0.5993259249176257,0.03599530386680727,0.05712307290690677,4.670620580134533,18.42529872397962,True,True,0.1321251031616989
Saturation,No saturation,Saturation,pearson r,0.9897391087114306,0.8640037218895908,0.1257353868218397,0.862891579849403,0.0065833092684007095,0.8388679340405136,0.8878065205899135,0.8496702691478085,0.8750831830931128,0.025412913945304316,0.048938586549399865,4.947696556658451,19.099115915054792,True,True,0.1003224728765354
Saturation,No saturation,Saturation,distance correlation,0.9883603524983051,0.9005900392452504,0.08777031325305473,0.8954091840112793,0.006326495682750428,0.8744885409484089,0.9162961662426925,0.8833553524862298,0.9068482505399164,0.023492898053686595,0.04180762529428361,3.7360360161815573,13.873448691724517,True,True,0.06427741519936814
Saturation,No saturation,Saturation,early buffer width,0.6368369728599427,1.0577582585951315,0.42092128573518883,1.1775480974827617,0.09823814843952323,0.8966765647157753,1.5242204034681233,0.9965064476320112,1.3811037928397267,0.3845973452077155,0.627543838752348,1.0944466751528286,4.284702963373885,True,False,0.03632394052747334
Saturation,No saturation,Saturation,amplitude,0.6878145136759963,0.6312995151941208,0.05651499848187558,0.6108353397315472,0.010581978145644945,0.5789551150872907,0.6529077811676824,0.5899537508725949,0.6312427898409249,0.041289038968329916,0.07395266608039175,1.3687651709506847,5.340683726996219,True,False,0.015225959513545662
Saturation,No saturation,Saturation,spearman rho,0.9899194419580852,0.9288311367634803,0.06108830519460495,0.9167560192187001,0.011728041970704085,0.8763521507865468,0.9593361935039147,0.8913364610018828,0.9374953959484346,0.046158934946551766,0.08298404271736792,1.3234340277855232,5.208738623821412,True,False,0.014929370248053186
