property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Spread,Low spread,High spread,buffer width mean,0.7259713929640897,1.9558045917259186,1.229833198761829,2.0422728300429442,0.12883476117468406,1.6935627622366272,2.40892010285558,1.7956425128385705,2.278772504613448,0.4831299917748775,0.7153573406189526,2.5455534115027376,9.545818128186124,True,True,0.7467032069869515
Spread,Low spread,High spread,middle buffer width,0.6759433272204599,2.037580377622826,1.3616370504023663,2.035689862024603,0.23421396384440796,1.4435726228066017,2.988003774908103,1.619141926280745,2.4945523529071236,0.8754104266263787,1.5444311521015013,1.5554270419759428,5.813645899041798,True,False,0.4862266237759876
Spread,Low spread,High spread,MCN,4.0,4.459431618637297,0.4594316186372973,4.458004608496353,0.03710888113457344,3.3219280948873626,4.459431618637297,4.459431618637297,4.459431618637297,0.0,1.1375035237499347,,12.38063785785382,True,False,0.4594316186372973
Spread,Low spread,High spread,late buffer width,0.7643878576034798,1.950729161836188,1.186341304232708,2.047696811260693,0.20265203823871197,1.2994669698330241,2.7191112581794545,1.6679795407193092,2.4523119403726326,0.7843323996533234,1.4196442883464304,1.5125491497700128,5.854080297160737,True,False,0.40200890457938465
Spread,Low spread,High spread,early buffer width,0.7247775058551992,1.8807960456819839,1.1560185398267846,2.041623823104288,0.23743455677767278,1.3992636938800003,2.7380193191502697,1.6158391451223677,2.508758808228936,0.8929196631065683,1.3387556252702695,1.2946501097364858,4.868788080031875,True,False,0.26309887672021626
Spread,Low spread,High spread,standardized overall slope,0.9172341403198011,0.6011686126341726,0.31606552768562846,0.6004295947755676,0.046630457003985326,0.43730443914864237,0.7514528008776376,0.5073615346412447,0.6868919666214192,0.1795304319801745,0.3141483617289952,1.7605122663578925,6.77809200237123,True,True,0.13653509570545397
Spread,Low spread,High spread,r2,0.9700263953098166,0.7483469164938679,0.22167947881594874,0.7051176482169512,0.03175857638368297,0.6087430124156992,0.8019076927577503,0.639989782880763,0.7644970232735017,0.12450724039273864,0.19316468034205114,1.780454519084155,6.980145335791688,True,True,0.0971722384232101
Spread,Low spread,High spread,eta squared,0.9575818364240949,0.7442983199560628,0.21328351646803212,0.7012157882120799,0.03215400659757278,0.6080396696559005,0.8026165335515748,0.6363838875133295,0.7629313142398721,0.12654742672654262,0.1945768638956743,1.685403820410495,6.633186312903609,True,True,0.0867360897414895
Spread,Low spread,High spread,MIC,1.0000000000000002,0.7195434433318436,0.2804565566681566,0.7125394700110187,0.05247541718026008,0.561350527121882,0.882299823348388,0.6139622626058793,0.8156524609391786,0.20169019833329938,0.3209492962265059,1.3905314139494938,5.344532196947588,True,False,0.07876635833485723
Spread,Low spread,High spread,MEV,1.0000000000000002,0.7195434433318436,0.2804565566681566,0.7125394700110187,0.05247541718026008,0.561350527121882,0.882299823348388,0.6139622626058793,0.8156524609391786,0.20169019833329938,0.3209492962265059,1.3905314139494938,5.344532196947588,True,False,0.07876635833485723
