property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Strength,Weak response,Strong response,buffer width mean,1.2293657929957338,0.6600532047618716,0.5693125882338622,0.7132373744026768,0.04557074954390086,0.5764908889679005,0.8391796224274165,0.6287301815430145,0.8017593158397723,0.1730291342967578,0.26268873345951604,3.290270107099125,12.49293886828461,True,True,0.3962834539371044
Strength,Weak response,Strong response,raw overall slope,0.31470862964154067,0.704483906598661,0.38977527695712033,0.6995753504065688,0.009124433180000814,0.6687916174307565,0.7259146903376629,0.6812263050364448,0.7172216089032517,0.03599530386680694,0.057123072906906325,10.828503584784334,42.71775235435343,True,True,0.3537799730903134
Strength,Weak response,Strong response,curve amplitude,0.32820146340703255,0.7167078224833809,0.3885063590763484,0.7000653554360153,0.016765534170967135,0.6530592936757831,0.7708239512017447,0.6665204347237551,0.7332649668088411,0.06674453208508602,0.11776465752596166,5.820796804464521,23.172918626662348,True,True,0.3217618269912624
Strength,Weak response,Strong response,amplitude,0.28960222317320294,0.6481802520699502,0.3585780288967473,0.6334398374795394,0.011528796025157252,0.5990533963119545,0.6779600516489244,0.6110115619972644,0.6561744128612416,0.0451628508639772,0.07890665533696983,7.939667714439089,31.102816644017803,True,True,0.3134151780327701
Strength,Weak response,Strong response,late buffer width,1.2650051140089569,0.6910447366327181,0.5739603773762387,0.7148135598353262,0.06965145857174437,0.495451541116755,0.9309713388547755,0.5805245810334224,0.8638364498971438,0.2833118688637214,0.43551979773802046,2.0258959840906807,8.240464581011347,True,True,0.29064850851251733
Strength,Weak response,Strong response,middle buffer width,1.2413876284225924,0.6427429098578142,0.5986447185647782,0.7127552575752425,0.08014971407524002,0.5054223077761011,0.9865320673284232,0.5638081977852034,0.8763469319607584,0.312538734175555,0.48110975955232216,1.9154256836162766,7.469081149844207,True,True,0.2861059843892232
Strength,Weak response,Strong response,raw early slope,0.33644917661147383,0.7864244232859463,0.4499752466744725,0.7018219667401445,0.04701160929438427,0.5502155568500494,0.8587902531957028,0.6117870947238983,0.7943464791566545,0.1825593844327562,0.3085746963456534,2.464815753364988,9.571577179091035,True,True,0.26741586224171626
Strength,Weak response,Strong response,raw middle slope,0.2886638100702784,0.7007798477212497,0.41211603765097127,0.6997477205095106,0.04560322167410858,0.5602971580645753,0.8382882856795825,0.6148267115561364,0.7883141850961342,0.17348747353999772,0.2779911276150072,2.3754800807330767,9.03699393424548,True,True,0.23862856411097355
Strength,Weak response,Strong response,early buffer width,1.1698248628845775,0.6360414571714669,0.5337834057131107,0.7116179106532454,0.08050506166279828,0.5051498126266262,0.9609279206491897,0.5654611185440983,0.878442148397255,0.3129810298531567,0.4557781080225636,1.7054816579891416,6.630432853388823,True,True,0.220802375859954
Strength,Weak response,Strong response,raw late slope,0.3385816347990112,0.7318466134564712,0.39326497865745996,0.7011216476680604,0.04751866588800931,0.5374196398001122,0.8432008009158761,0.6098934161187359,0.7926283931089689,0.182734976990233,0.3057811611157639,2.152105662171504,8.276010517304844,True,True,0.21053000166722696
