property,MAS,MCN,MEV,MIC,MIC-r2,amplitude,buffer width mean,curve amplitude,distance correlation,early buffer width,eta squared,first derivative sign changes,late buffer width,middle buffer width,pearson r,r2,raw early slope,raw late slope,raw middle slope,raw overall slope,residual sd,spearman rho,standardized early slope,standardized late slope,standardized middle slope,standardized overall slope,x bin count coefficient of variation
Certainty,0.25112580865729073,,1.6147539960483996,1.6147539960483996,0.40293534081044413,0.3342471740569234,2.6433096570155907,0.22618283769143538,1.7298654773575026,1.3497891285256347,1.719166392504492,0.5,1.5657315483842733,1.6057124924917874,1.7895641305678414,1.8530950377287454,0.44914589884492984,0.14690053359298985,0.05312495509172916,0.16414658791092926,3.0188255286848005,1.6575297567198044,0.15019128098638637,0.4473263265537533,0.4937674676275417,1.8714437637791255,
Clustering,0.5421531114622979,0.6790577101665618,2.7365642247305697,,0.5616304596149407,4.910440724389087,0.9574796134400627,2.1289453948160637,0.09975775438453424,0.39213136163415263,0.07385831249860576,0.0,0.6085413211866757,0.7455881480619695,0.5446741983603783,3.655363029824265,0.2402699574388081,0.2814348875980956,,0.126692625895522,2.6570493890023252,1.516101127652373,,,0.4423034884667761,1.4646783152264296,4.655430206617493
Convexity / Concavity,0.2886499703478766,1.0,0.3624052933133684,0.3624052933133684,0.39165091156645754,1.8788284363564178,0.7416678737175526,0.9218113797212917,0.031929973427397,1.1546437598161923,0.6054383671988495,,0.2996223531104586,0.4065154366193152,0.1641515293216602,0.6990250509163137,4.900434302862974,4.592204478343403,1.0709117741153877,3.8710270954573964,0.09184522356840286,0.2749876814615473,3.866383459626266,4.264349382778723,0.8175514848228931,1.1022297329233661,
Density,0.6176169466623316,1.5869468652865584,0.8173803215601149,0.8211186388788093,0.804787567668538,0.40362378142436567,0.26381121258319007,0.2459594646829841,0.5681374733128622,0.7916197914284782,0.22418400450218678,,0.3538577157991639,0.21626551633944502,0.34939626559364506,0.2531247163345888,0.4289121239157168,0.013612349603113836,0.09714108260996439,0.3344669662563138,0.023444553259391942,1.1309931220440363,0.3762770027895332,0.21474163207097394,0.03278369004578102,0.10079744426604724,
Direction,0.14961328083004963,0.5253834689235481,0.262824506192985,0.262824506192985,0.20968691117766955,0.3244698539331899,0.2834787367247932,0.3732033937802053,0.24706983625825277,0.04954541762083158,0.08553917405723645,,0.11815074328509366,0.5829977971001928,298.69053759337,0.015272459025450408,7.066329443067924,7.369880925502953,7.654062482170372,37.51113556476988,0.028600816406448012,295.05211375865383,7.654161025298455,7.609832770924826,6.956710327690572,13.936941175266321,
Heteroscedasticity,0.4499762416060749,,1.2762393094086162,1.2762393094086162,0.03663866618210803,0.07041907484491133,2.3268173164749015,0.1738711216040278,1.5836899236511783,0.25404702891258835,1.6616773767227755,0.0,1.9395353932871815,1.3165345631075864,1.5605999132960935,1.698939248305888,0.24411954324718343,0.13279092735288045,0.05640291659789668,0.03297328950726478,2.46196840569631,1.380165335449865,0.6946457713410241,0.2594646898884992,0.5438050034111069,1.5387683005042068,
Monotonicity,5.574179626408414,0.0,0.0,0.0,15.021480437953713,2.105837014656922,1.637717660094456,1.8554150423763767,24.147736553321824,0.5523380514252065,1.9236921837048373,,0.8894064373212829,1.4221262607620841,25.13561646896271,0.4202078941306072,0.5020635558548537,6.6271646811000595,11.889899443032954,23.70394366362825,0.7058795465136876,17.75760938551636,0.5116606518003818,3.731673790756531,9.015988057571269,19.77397619212916,
Non-linearity,0.0483108268256616,0.2843829707255301,0.0,0.0,1.44735415931032,0.32723573503481346,0.007084878229811588,0.13691229001169472,2.103285139219049,0.48633700032040095,0.08833129976795272,0.0,0.34822028073583816,0.020740432008433562,2.5958571384691886,0.1544149729953316,2.407556102334089,2.860766964111703,0.1851202106736927,0.27157089695064474,0.03225746154794861,0.5203335046621078,2.608165214256166,2.3584758080504895,0.04300073103529414,0.1600997526412209,
Saturation,0.17635647722908143,1.0,0.636467350408782,0.636467350408782,1.1156293236755208,1.3687651709506847,0.7494993443067014,0.3813524731596187,3.7360360161815573,1.0944466751528286,0.9327961883925295,0.25,0.14332502632328,0.22382410199727798,4.947696556658451,0.5054616313563657,5.661529936885309,3.624641236746508,1.997310336722099,4.670620580134533,0.08387669972626982,1.3234340277855232,3.6225720585388426,3.760780251317466,2.0603407905734956,2.443007519186841,
Spread,0.3600812833855263,,1.3905314139494938,1.3905314139494938,0.2524669793103912,0.3315966338923533,2.5455534115027376,0.21993919743761,1.705524390072404,1.2946501097364858,1.685403820410495,0.5,1.5125491497700128,1.5554270419759428,1.7619963668643912,1.780454519084155,0.4471243536885054,0.14461911128726376,0.05717744100871905,0.16744470266214795,2.927020384009592,1.6609832463238623,0.13449345645110308,0.4343067747977824,0.47239605271487733,1.7605122663578925,
Strength,0.0634172796940453,1.0,2.381627991888749,2.381627991888749,0.21321345330750435,7.939667714439089,3.290270107099125,5.820796804464521,6.007449927234823,1.7054816579891416,5.760613718643527,,2.0258959840906807,1.9154256836162766,6.872290669023842,6.884738881395286,2.464815753364988,2.152105662171504,2.3754800807330767,10.828503584784334,0.02860081640644002,5.911167166621157,0.7690327135981521,0.4977997774859992,0.7712269980054876,1.113888483233518,
Threshold,0.051136348539135644,0.4936966718423715,0.0,0.0,1.4066428938495714,0.773825635511802,0.24401735124436785,0.7214873389948138,2.671351781682899,0.22743785242980982,0.11591462431393702,1.0,0.3503735104853603,0.2316655228053675,2.792149280149098,0.07979847420695904,2.1912034517889785,1.8784853579279839,0.14181398910450113,1.0931267206903403,0.06878873194802404,1.1964679911699756,2.1289824143458658,1.8108635038956733,0.20637718408278433,0.2523994300552799,
Turning point,1.8007081873321185,,1.2385755408828927,1.2385755408828927,3.448316510048332,10.506676755619885,2.3736904585294596,8.765001776911378,16.039415398852192,1.244487801842751,1.7112757248161958,0.5,1.5151957921843955,1.2665323604567542,7.329768143212488,1.7602740294178836,0.5006886638901297,7.881168743175444,3.941978912911878,19.61991279907321,0.03443997732887324,9.191164078870807,1.8800647981624028,4.323830189829798,1.855746869616808,9.177826830413562,
