model,year,climate_zone,input_var,output_var,pawn_median,pawn_max,n_samples
CLASSIC,1991,HW,precipitation,evapotrans,0.2815859354170737,0.4781732427888289,12287
CLASSIC,1991,HW,lai,evapotrans,0.38228597715495494,0.6308495957445217,12287
CLASSIC,1991,HW,precipitation,tran,0.22828406147455826,0.4340318043857577,12287
CLASSIC,1991,HW,lai,tran,0.3965834380068849,0.7030371327253668,12287
CLASSIC,1991,HW,precipitation,evspsblveg,0.3228838266377335,0.5127005508279305,12287
CLASSIC,1991,HW,lai,evspsblveg,0.4400938432341312,0.7586144054162175,12287
CLASSIC,1991,HW,precipitation,evspsblsoi,0.22626484169246103,0.4524111858750075,12287
CLASSIC,1991,HW,lai,evspsblsoi,0.4004102727550206,0.6239378737031333,12287
CLASSIC,1991,HD,precipitation,evapotrans,0.49208780490092985,0.7319659392710727,11062
CLASSIC,1991,HD,lai,evapotrans,0.47585922907642375,0.6982762999449436,11062
CLASSIC,1991,HD,precipitation,tran,0.4326008694137693,0.6623597419728775,11062
CLASSIC,1991,HD,lai,tran,0.6212187888550577,0.7981541012903047,11062
CLASSIC,1991,HD,precipitation,evspsblveg,0.4779650954113477,0.667859429653799,11062
CLASSIC,1991,HD,lai,evspsblveg,0.604587557292564,0.8246464005048656,11062
CLASSIC,1991,HD,precipitation,evspsblsoi,0.4314148864802876,0.73061141436485,11062
CLASSIC,1991,HD,lai,evspsblsoi,0.3745909542238175,0.657133440788856,11062
CLASSIC,1991,CW,precipitation,evapotrans,0.2780706737926415,0.5239646335532304,21182
CLASSIC,1991,CW,lai,evapotrans,0.295568002800318,0.5635334906640037,21182
CLASSIC,1991,CW,precipitation,tran,0.29740624635845675,0.4652101652069808,21182
CLASSIC,1991,CW,lai,tran,0.4320375665942603,0.7786433172778101,21182
CLASSIC,1991,CW,precipitation,evspsblveg,0.3371325485345808,0.5594806768806253,21182
CLASSIC,1991,CW,lai,evspsblveg,0.5511957655710851,0.7670972117020475,21182
CLASSIC,1991,CW,precipitation,evspsblsoi,0.1412142028406359,0.21552194547524328,21182
CLASSIC,1991,CW,lai,evspsblsoi,0.19576494696933427,0.49109787134837923,21182
CLASSIC,1991,CD,precipitation,evapotrans,0.25626776202833534,0.44056106057841066,12583
CLASSIC,1991,CD,lai,evapotrans,0.35714209003567665,0.7260674303396207,12583
CLASSIC,1991,CD,precipitation,tran,0.25031195175997156,0.4428193617256713,12583
CLASSIC,1991,CD,lai,tran,0.4875565197802016,0.7709348133319303,12583
CLASSIC,1991,CD,precipitation,evspsblveg,0.28176754981372937,0.5031149797591806,12583
CLASSIC,1991,CD,lai,evspsblveg,0.5391346135744507,0.8218407691909043,12583
CLASSIC,1991,CD,precipitation,evspsblsoi,0.2474564512140272,0.4101374028766868,12583
CLASSIC,1991,CD,lai,evspsblsoi,0.33539668619444785,0.7245574565654811,12583
CLASSIC,1992,HW,precipitation,evapotrans,0.29104579538143827,0.5595542081999719,12306
CLASSIC,1992,HW,lai,evapotrans,0.3696997308271731,0.7062556448790344,12306
CLASSIC,1992,HW,precipitation,tran,0.2413160422771659,0.540528003550935,12306
CLASSIC,1992,HW,lai,tran,0.4143236840926616,0.7586661971870035,12306
CLASSIC,1992,HW,precipitation,evspsblveg,0.3430319348023111,0.5492218929087315,12306
CLASSIC,1992,HW,lai,evspsblveg,0.420073349483426,0.7719998949083768,12306
CLASSIC,1992,HW,precipitation,evspsblsoi,0.22406331479839242,0.4052490097160902,12306
CLASSIC,1992,HW,lai,evspsblsoi,0.4168924639211161,0.6173678033857194,12306
CLASSIC,1992,HD,precipitation,evapotrans,0.4444433450270395,0.7696457337185815,11174
CLASSIC,1992,HD,lai,evapotrans,0.46443295673435536,0.6816777041942605,11174
CLASSIC,1992,HD,precipitation,tran,0.37692530175749095,0.6749928085606893,11174
CLASSIC,1992,HD,lai,tran,0.6199969586642736,0.790148866538825,11174
CLASSIC,1992,HD,precipitation,evspsblveg,0.4396543907749167,0.6790906504896571,11174
CLASSIC,1992,HD,lai,evspsblveg,0.5843734311602953,0.7974897322656447,11174
CLASSIC,1992,HD,precipitation,evspsblsoi,0.42251215773155454,0.7669962476667774,11174
CLASSIC,1992,HD,lai,evspsblsoi,0.34112540196014707,0.6673588295615941,11174
CLASSIC,1992,CW,precipitation,evapotrans,0.22984244253499211,0.5063919649755344,21175
CLASSIC,1992,CW,lai,evapotrans,0.2561082925628306,0.5528411223080294,21175
CLASSIC,1992,CW,precipitation,tran,0.23695432661559365,0.41610213545517505,21175
