model,year,climate_zone,input_var,output_var,pawn_median,pawn_max,n_samples
LPJ-GUESS,1991,HW,precipitation,evapotrans,0.2971608471098509,0.5002352110603441,12463
LPJ-GUESS,1991,HW,lai,evapotrans,0.4612274161373202,0.731549186715372,12463
LPJ-GUESS,1991,HW,precipitation,tran,0.2420092744773125,0.44351540383110594,12463
LPJ-GUESS,1991,HW,lai,tran,0.43944476935839233,0.724173191781595,12463
LPJ-GUESS,1991,HW,precipitation,evspsblveg,0.32207166412259525,0.59100066212039,12463
LPJ-GUESS,1991,HW,lai,evspsblveg,0.5072107499192795,0.7542568504778957,12463
LPJ-GUESS,1991,HW,precipitation,evspsblsoi,0.1403915654491264,0.3021286507258918,12463
LPJ-GUESS,1991,HW,lai,evspsblsoi,0.11426664497242427,0.2364561893903629,12463
LPJ-GUESS,1991,HD,precipitation,evapotrans,0.4917758674418288,0.6568787892305005,11367
LPJ-GUESS,1991,HD,lai,evapotrans,0.5161840334697549,0.7791017974774453,11367
LPJ-GUESS,1991,HD,precipitation,tran,0.47569378618858393,0.6279656033382918,11367
LPJ-GUESS,1991,HD,lai,tran,0.564685332014963,0.8465757354820335,11367
LPJ-GUESS,1991,HD,precipitation,evspsblveg,0.47276780016777004,0.6433797426947538,11367
LPJ-GUESS,1991,HD,lai,evspsblveg,0.5686390103177347,0.8174575154250384,11367
LPJ-GUESS,1991,HD,precipitation,evspsblsoi,0.28452096040781366,0.40492817631677785,11367
LPJ-GUESS,1991,HD,lai,evspsblsoi,0.22616247529302064,0.5052822675833599,11367
LPJ-GUESS,1991,CW,precipitation,evapotrans,0.24939016372177591,0.5214883360139928,21186
LPJ-GUESS,1991,CW,lai,evapotrans,0.3618887653442518,0.7941157327087033,21186
LPJ-GUESS,1991,CW,precipitation,tran,0.2221200493964859,0.5353714806324575,21186
LPJ-GUESS,1991,CW,lai,tran,0.3835086646235216,0.8429646502291419,21186
LPJ-GUESS,1991,CW,precipitation,evspsblveg,0.23613796466890177,0.5417306996966669,21186
LPJ-GUESS,1991,CW,lai,evspsblveg,0.5292392442189906,0.8527349861562349,21186
LPJ-GUESS,1991,CW,precipitation,evspsblsoi,0.11285937965591519,0.3742845843642816,21186
LPJ-GUESS,1991,CW,lai,evspsblsoi,0.1583131695749744,0.33004120407365634,21186
LPJ-GUESS,1991,CD,precipitation,evapotrans,0.24450961934282497,0.47305716739612585,10378
LPJ-GUESS,1991,CD,lai,evapotrans,0.5041728765774606,0.7135429140716003,10378
LPJ-GUESS,1991,CD,precipitation,tran,0.21776244731437852,0.46495031174215795,10378
LPJ-GUESS,1991,CD,lai,tran,0.5733889051651058,0.8712687391551195,10378
LPJ-GUESS,1991,CD,precipitation,evspsblveg,0.2265382787366435,0.44722421188144035,10378
LPJ-GUESS,1991,CD,lai,evspsblveg,0.603829948560966,0.7805976478329176,10378
LPJ-GUESS,1991,CD,precipitation,evspsblsoi,0.18803864132197592,0.4291306903480053,10378
LPJ-GUESS,1991,CD,lai,evspsblsoi,0.19117679276340827,0.46833359882751824,10378
LPJ-GUESS,1992,HW,precipitation,evapotrans,0.3181990505436201,0.5635651296737872,12456
LPJ-GUESS,1992,HW,lai,evapotrans,0.46313989601633254,0.7508203515217868,12456
LPJ-GUESS,1992,HW,precipitation,tran,0.2541133754438979,0.536994168107372,12456
LPJ-GUESS,1992,HW,lai,tran,0.43786506339829984,0.7523464940088309,12456
LPJ-GUESS,1992,HW,precipitation,evspsblveg,0.34659023041385706,0.5818522934276003,12456
LPJ-GUESS,1992,HW,lai,evspsblveg,0.5097509745355888,0.7408619592973689,12456
LPJ-GUESS,1992,HW,precipitation,evspsblsoi,0.11090647487751133,0.2643810224832501,12456
LPJ-GUESS,1992,HW,lai,evspsblsoi,0.102022065940303,0.21178690127983463,12456
LPJ-GUESS,1992,HD,precipitation,evapotrans,0.41927925764222534,0.689465977431642,11348
LPJ-GUESS,1992,HD,lai,evapotrans,0.5171924180006491,0.8027036532665424,11348
LPJ-GUESS,1992,HD,precipitation,tran,0.4206799323686169,0.6799802161577146,11348
LPJ-GUESS,1992,HD,lai,tran,0.57838929097716,0.8555706608240075,11348
LPJ-GUESS,1992,HD,precipitation,evspsblveg,0.3999560366108631,0.6709654828656566,11348
LPJ-GUESS,1992,HD,lai,evspsblveg,0.5627035523347086,0.8168008801255903,11348
LPJ-GUESS,1992,HD,precipitation,evspsblsoi,0.23405212963663363,0.4884738019232775,11348
LPJ-GUESS,1992,HD,lai,evspsblsoi,0.23240764416109147,0.5657609716785275,11348
LPJ-GUESS,1992,CW,precipitation,evapotrans,0.21597765912477396,0.529090051862329,21210
LPJ-GUESS,1992,CW,lai,evapotrans,0.35322960867515324,0.7756718528995756,21210
LPJ-GUESS,1992,CW,precipitation,tran,0.19513957460436068,0.5221122112211222,21210
LPJ-GUESS,1992,CW,lai,tran,0.373998114097124,0.848090523338048,21210
LPJ-GUESS,1992,CW,precipitation,evspsblveg,0.18573730351471804,0.5227251296558227,21210
LPJ-GUESS,1992,CW,lai,evspsblveg,0.5276284771334276,0.8377180575200377,21210
LPJ-GUESS,1992,CW,precipitation,evspsblsoi,0.13551647476582854,0.3702027345591702,21210
LPJ-GUESS,1992,CW,lai,evspsblsoi,0.20627062706270624,0.36487505893446487,21210
LPJ-GUESS,1992,CD,precipitation,evapotrans,0.3112821677021178,0.4365547072287091,10387
LPJ-GUESS,1992,CD,lai,evapotrans,0.5060028906212692,0.7466168981308816,10387
LPJ-GUESS,1992,CD,precipitation,tran,0.29041821738251505,0.41920867435074916,10387
LPJ-GUESS,1992,CD,lai,tran,0.6126269736634755,0.8728596086458811,10387
LPJ-GUESS,1992,CD,precipitation,evspsblveg,0.2831928010406396,0.4374133914524272,10387
LPJ-GUESS,1992,CD,lai,evspsblveg,0.6037657213060716,0.7598156353915779,10387
LPJ-GUESS,1992,CD,precipitation,evspsblsoi,0.13678065988862964,0.28300895850323005,10387
LPJ-GUESS,1992,CD,lai,evspsblsoi,0.22776622451908418,0.486641538917867,10387
LPJ-GUESS,1993,HW,precipitation,evapotrans,0.3031920106114535,0.5224794873184706,12423
LPJ-GUESS,1993,HW,lai,evapotrans,0.4274882065795834,0.6967274322942762,12423
LPJ-GUESS,1993,HW,precipitation,tran,0.22402414331217493,0.394445034833723,12423
LPJ-GUESS,1993,HW,lai,tran,0.4038264112731528,0.7168450494952366,12423
LPJ-GUESS,1993,HW,precipitation,evspsblveg,0.35829724615408465,0.579835406376813,12423
LPJ-GUESS,1993,HW,lai,evspsblveg,0.48686459314012,0.7242642675664069,12423
LPJ-GUESS,1993,HW,precipitation,evspsblsoi,0.14520073556528784,0.2776616750818186,12423
LPJ-GUESS,1993,HW,lai,evspsblsoi,0.09690653019730976,0.2111482092005595,12423
LPJ-GUESS,1993,HD,precipitation,evapotrans,0.4610381669826943,0.6472977415547772,11265
LPJ-GUESS,1993,HD,lai,evapotrans,0.47829375483186964,0.810225545668971,11265
LPJ-GUESS,1993,HD,precipitation,tran,0.45235912874348333,0.6568594872520023,11265
LPJ-GUESS,1993,HD,lai,tran,0.5583583380944586,0.8637388145786886,11265
LPJ-GUESS,1993,HD,precipitation,evspsblveg,0.43181778208608323,0.6376994873226068,11265
LPJ-GUESS,1993,HD,lai,evspsblveg,0.5636652067183615,0.8100401279020263,11265
LPJ-GUESS,1993,HD,precipitation,evspsblsoi,0.24583859969079436,0.3858800462615861,11265
LPJ-GUESS,1993,HD,lai,evspsblsoi,0.18616362039886805,0.5538932808114272,11265
LPJ-GUESS,1993,CW,precipitation,evapotrans,0.31111586972382993,0.5086908056870698,21282
LPJ-GUESS,1993,CW,lai,evapotrans,0.38426214694475125,0.8000295656232579,21282
LPJ-GUESS,1993,CW,precipitation,tran,0.29477802920821616,0.5030446677065397,21282
LPJ-GUESS,1993,CW,lai,tran,0.41154006562784184,0.8533555459534227,21282
LPJ-GUESS,1993,CW,precipitation,evspsblveg,0.23132419922462405,0.4759247633017606,21282
LPJ-GUESS,1993,CW,lai,evspsblveg,0.5178211510592099,0.8461207964496886,21282
LPJ-GUESS,1993,CW,precipitation,evspsblsoi,0.1469355120927316,0.4233837860232819,21282
LPJ-GUESS,1993,CW,lai,evspsblsoi,0.14388101014447593,0.3658405771979478,21282
LPJ-GUESS,1993,CD,precipitation,evapotrans,0.3304236710567602,0.4564765319197014,10453
LPJ-GUESS,1993,CD,lai,evapotrans,0.5127083774855505,0.7391582900716107,10453
LPJ-GUESS,1993,CD,precipitation,tran,0.2930671239920717,0.44685864072875986,10453
LPJ-GUESS,1993,CD,lai,tran,0.5988064139458602,0.8764960666144862,10453
LPJ-GUESS,1993,CD,precipitation,evspsblveg,0.32047972355469445,0.4413457207963494,10453
LPJ-GUESS,1993,CD,lai,evspsblveg,0.6125457905218941,0.7512829438299707,10453
LPJ-GUESS,1993,CD,precipitation,evspsblsoi,0.11567298049093758,0.3111965807431937,10453
LPJ-GUESS,1993,CD,lai,evspsblsoi,0.18054218411699852,0.48651603875538585,10453
LPJ-GUESS,1994,HW,precipitation,evapotrans,0.34418358330584464,0.5235186467567774,12469
LPJ-GUESS,1994,HW,lai,evapotrans,0.43889461743230673,0.7090438819145578,12469
LPJ-GUESS,1994,HW,precipitation,tran,0.24726936274293848,0.48133968395466914,12469
LPJ-GUESS,1994,HW,lai,tran,0.42056994208507986,0.7138571660926797,12469
LPJ-GUESS,1994,HW,precipitation,evspsblveg,0.37201507533390105,0.5986952855591892,12469
LPJ-GUESS,1994,HW,lai,evspsblveg,0.4967551604965077,0.7509065465514059,12469
LPJ-GUESS,1994,HW,precipitation,evspsblsoi,0.16523788940437564,0.3156813661312292,12469
LPJ-GUESS,1994,HW,lai,evspsblsoi,0.11320006253841527,0.23396518956426532,12469
LPJ-GUESS,1994,HD,precipitation,evapotrans,0.4734996783635176,0.6330736862656405,11329
LPJ-GUESS,1994,HD,lai,evapotrans,0.4767481185566227,0.7624715862103031,11329
LPJ-GUESS,1994,HD,precipitation,tran,0.45116509738768995,0.6056087783758729,11329
LPJ-GUESS,1994,HD,lai,tran,0.5631605911517334,0.848884253573825,11329
LPJ-GUESS,1994,HD,precipitation,evspsblveg,0.46734983593407764,0.6582295068378125,11329
LPJ-GUESS,1994,HD,lai,evspsblveg,0.5528755335583246,0.8065160473199984,11329
LPJ-GUESS,1994,HD,precipitation,evspsblsoi,0.2834068052612493,0.43782550182118096,11329
LPJ-GUESS,1994,HD,lai,evspsblsoi,0.18026665665297342,0.46254435947953826,11329
LPJ-GUESS,1994,CW,precipitation,evapotrans,0.27943845888815694,0.518973529015093,21048
LPJ-GUESS,1994,CW,lai,evapotrans,0.360490860839741,0.7710518249881957,21048
LPJ-GUESS,1994,CW,precipitation,tran,0.256311653421201,0.5349319022860551,21048
LPJ-GUESS,1994,CW,lai,tran,0.38315226321287116,0.842694833480943,21048
LPJ-GUESS,1994,CW,precipitation,evspsblveg,0.263083859446703,0.5190752212165993,21048
LPJ-GUESS,1994,CW,lai,evspsblveg,0.5562324572451071,0.830959210076098,21048
LPJ-GUESS,1994,CW,precipitation,evspsblsoi,0.11417275403631344,0.3384989947194559,21048
LPJ-GUESS,1994,CW,lai,evspsblsoi,0.2120110147510362,0.3409769412928802,21048
