Zone,Output,Dominant_Factor,Precip_Value,LAI_Value,Dominance_Ratio
HW,evapotrans,LAI,0.32082658022690436,0.3727309562398703,1.1617832782435864
HW,tran,LAI,0.25822528363047,0.42123176661264183,1.6312568642670735
HW,evspsblveg,LAI,0.4186385737439222,0.4366288492706645,1.0429732866265913
HW,evspsblsoi,LAI,0.25182333873581847,0.39777147487844405,1.579565566548935
HD,evapotrans,Precipitation,0.5821444176960124,0.4728034642002203,1.2312608972897943
HD,tran,LAI,0.5015082030105595,0.620599064662075,1.2374654308999635
HD,evspsblveg,LAI,0.5410060737211984,0.6141461284718224,1.1351926682338813
HD,evspsblsoi,Precipitation,0.466967242890665,0.3550075408895635,1.31537274275645
CW,evapotrans,Precipitation,0.30263167041308714,0.2680912464695275,1.1288383126474137
CW,tran,LAI,0.30048324951476624,0.4085176230172467,1.3595354268199165
CW,evspsblveg,LAI,0.3720898734371021,0.5401429840278069,1.4516465575727306
CW,evspsblsoi,LAI,0.15885390773088354,0.19342576112015664,1.2176330048240198
CD,evapotrans,LAI,0.3346739593477646,0.3778620281740266,1.1290452020752535
CD,tran,LAI,0.3253522026939017,0.4855378023355052,1.4923452128678993
CD,evspsblveg,LAI,0.3637350744463801,0.5285602461685561,1.4531462131545387
CD,evspsblsoi,LAI,0.30853441497427186,0.3484063491822108,1.129230102574913
