Zone,Output,Dominant_Factor,Precip_Value,LAI_Value,Dominance_Ratio
HW,evapotrans,LAI,0.3159987642304419,0.5720979004923337,1.8104434734247483
HW,tran,LAI,0.012229503013338859,0.7874579706951335,64.39002168749147
HW,evspsblveg,LAI,0.41899879856942907,0.5854314366574593,1.397215072015846
HW,evspsblsoi,LAI,0.017055575224029937,0.8260930993411483,48.43536988032584
HD,evapotrans,Precipitation,0.747243975402673,0.20457508459073193,3.6526636493017963
HD,tran,LAI,0.06837141883950645,0.8779876286792517,12.84144226194978
HD,evspsblveg,LAI,0.10933643831344095,0.8609602099502491,7.874412432337009
HD,evspsblsoi,Precipitation,1.1123732264414437,0.39223425332107775,2.8359920551030267
CW,evapotrans,Precipitation,0.4394358510277266,0.3401076637436333,1.2920492471753298
CW,tran,LAI,0.21992635539007,0.5689166214685443,2.586850585509892
CW,evspsblveg,LAI,0.2751548070729814,0.7747929547999866,2.8158437890307253
CW,evspsblsoi,LAI,0.4790040935270002,0.5622800101156605,1.1738522020930935
CD,evapotrans,Precipitation,0.4970479615252402,0.42322179679742,1.174438474504455
CD,tran,LAI,0.0566516261514728,0.864416572652763,15.258459992228206
CD,evspsblveg,LAI,0.11935827379082882,0.8855064154768846,7.418894280314526
CD,evspsblsoi,Precipitation,0.6198200805681597,0.13644148118607782,4.542753968410667
