Zone,Output,Dominant_Factor,Precip_Value,LAI_Value,Dominance_Ratio
HW,evapotrans,LAI,0.3839368193101266,0.4910428596905917,1.2789678792594594
HW,tran,LAI,0.2916654264178842,0.4569871545843538,1.5668197634536314
HW,evspsblveg,LAI,0.4336973177298588,0.5178356679267595,1.1940024681681534
HW,evspsblsoi,Precipitation,0.18558230507168894,0.14952038625544853,1.2411839588918123
HD,evapotrans,Precipitation,0.5798960675911045,0.553711708355276,1.0472887943960523
HD,tran,LAI,0.5374516120566246,0.5982418063668749,1.1131082181823184
HD,evspsblveg,LAI,0.5629228380053393,0.5846973683196162,1.03868119880793
HD,evspsblsoi,Precipitation,0.3293677271555413,0.27390948330966347,1.202469235659627
CW,evapotrans,LAI,0.30981014171161786,0.3624222305827214,1.1698204211890992
CW,tran,LAI,0.28172703507198554,0.3877114559392824,1.3761954215810233
CW,evspsblveg,LAI,0.25028395641997253,0.548334022553912,2.1908476682969296
CW,evspsblsoi,LAI,0.14568840684711004,0.17541307248113164,1.2040290381156593
CD,evapotrans,LAI,0.3278830669959433,0.5279311624644359,1.610120239328967
CD,tran,LAI,0.28588482046033026,0.6137599492439341,2.146878410826336
CD,evspsblveg,LAI,0.3161370751342717,0.6166104589102339,1.9504528485097739
CD,evspsblsoi,LAI,0.14813256359672122,0.21857214683705306,1.475517208252374
