Zone,Output,Dominant_Factor,Precip_Value,LAI_Value,Dominance_Ratio
HW,evapotrans,LAI,0.22458442059204192,0.7563519227656392,3.367784463566044
HW,tran,LAI,0.009730104473808447,0.9024808993473918,92.75140801432858
HW,evspsblveg,LAI,0.3760490724795749,0.6388805277257406,1.6989286088201918
HW,evspsblsoi,Precipitation,0.3982683307437755,0.0999466222098426,3.9848103071368586
HD,evapotrans,Precipitation,0.5340885008895438,0.4461897672273756,1.1969985418730495
HD,tran,LAI,0.35272165528945737,0.608226869253781,1.7243819877807267
HD,evspsblveg,LAI,0.06270779597334324,0.8649728812449915,13.793705653971902
HD,evspsblsoi,Precipitation,0.9857715604414565,0.4153154613554376,2.3735489090314723
CW,evapotrans,LAI,0.3633782120227557,0.5729655856839904,1.576774739291282
CW,tran,LAI,0.2735226465275743,0.6374486852661525,2.3305151991092576
CW,evspsblveg,LAI,0.16286290497208483,0.8178303425840044,5.021587587560372
CW,evspsblsoi,Precipitation,0.5220292905494142,0.3282966989405041,1.5901143449663744
CD,evapotrans,LAI,0.14370718612847683,0.8690716987677658,6.047517327254938
CD,tran,LAI,0.016526503157279705,0.9535732396816147,57.69963705187171
CD,evspsblveg,LAI,0.10613266371903339,0.8044558014204654,7.579719310467336
CD,evspsblsoi,Precipitation,0.5630881321497128,0.23815132790275342,2.364413152225641
