Output,Input,SRC,R2,PAWN_median,PAWN_max,Zone
evapotrans,precipitation,0.22458442059204192,0.8690506844208192,0.3839368193101266,0.6037164722592601,HW
evapotrans,lai,0.7563519227656392,0.8690506844208192,0.4910428596905917,0.7594567379599828,HW
tran,precipitation,-0.009730104473808447,0.8018212404813032,0.2916654264178842,0.5208388508503528,HW
tran,lai,0.9024808993473918,0.8018212404813032,0.4569871545843538,0.7604923138920838,HW
evspsblveg,precipitation,0.3760490724795749,0.8982841529078438,0.4336973177298588,0.6579351880331639,HW
evspsblveg,lai,0.6388805277257406,0.8982841529078438,0.5178356679267595,0.762647039443473,HW
evspsblsoi,precipitation,0.3982683307437755,0.11083260905273573,0.18558230507168894,0.4022519864969345,HW
evspsblsoi,lai,-0.0999466222098426,0.11083260905273573,0.14952038625544853,0.3412313647850248,HW
evapotrans,precipitation,0.5340885008895438,0.8977138632275933,0.5798960675911045,0.7142180663034203,HD
evapotrans,lai,0.4461897672273756,0.8977138632275933,0.553711708355276,0.8205877314659259,HD
tran,precipitation,0.35272165528945737,0.8664975702205042,0.5374516120566246,0.7330810551711521,HD
tran,lai,0.608226869253781,0.8664975702205042,0.5982418063668749,0.8620107077086102,HD
evspsblveg,precipitation,0.06270779597334324,0.8461992946987501,0.5629228380053393,0.7352925899644296,HD
evspsblveg,lai,0.8649728812449915,0.8461992946987501,0.5846973683196162,0.8095517919272284,HD
evspsblsoi,precipitation,0.9857715604414565,0.43405168112714165,0.3293677271555413,0.5557562576546754,HD
evspsblsoi,lai,-0.4153154613554376,0.43405168112714165,0.27390948330966347,0.6485324969983378,HD
evapotrans,precipitation,0.3633782120227557,0.6635885807712594,0.30981014171161786,0.5345483456276634,CW
evapotrans,lai,0.5729655856839904,0.6635885807712594,0.3624222305827214,0.793183951660575,CW
tran,precipitation,0.2735226465275743,0.6513685574360825,0.28172703507198554,0.5271558889564202,CW
tran,lai,0.6374486852661525,0.6513685574360825,0.3877114559392824,0.8641995673374463,CW
evspsblveg,precipitation,0.16286290497208483,0.8253996805439481,0.25028395641997253,0.5308230838163951,CW
evspsblveg,lai,0.8178303425840044,0.8253996805439481,0.548334022553912,0.8459001302983125,CW
evspsblsoi,precipitation,0.5220292905494142,0.21298564044131418,0.14568840684711004,0.3864007554249335,CW
evspsblsoi,lai,-0.3282966989405041,0.21298564044131418,0.17541307248113164,0.39324705406478005,CW
evapotrans,precipitation,0.14370718612847683,0.8864617987678118,0.3278830669959433,0.5106730121854677,CD
evapotrans,lai,0.8690716987677658,0.8864617987678118,0.5279311624644359,0.7632167378163819,CD
tran,precipitation,-0.016526503157279705,0.8956287424180316,0.28588482046033026,0.5002701407950518,CD
tran,lai,0.9535732396816147,0.8956287424180316,0.6137599492439341,0.8708292332847494,CD
evspsblveg,precipitation,0.10613266371903339,0.733970404132777,0.3161370751342717,0.508447518145027,CD
evspsblveg,lai,0.8044558014204654,0.733970404132777,0.6166104589102339,0.7702260637314019,CD
evspsblsoi,precipitation,0.5630881321497128,0.2551108529040188,0.14813256359672122,0.4605931999615274,CD
evspsblsoi,lai,-0.23815132790275342,0.2551108529040188,0.21857214683705306,0.5596809548323288,CD
